CYK2|S0004635
Ifm1p|S0005383
Eca40p|S0003909
Pex11p|S0005507
Thd1p|S0006012
Ufd3p|S0001696
RPL4A|S0000235
Lsc2p|S0003476
RPL4B|S0002419
MRE11|S0004837
APD1|S0000355
HRD799|S0003748
Rad30p|S0002827
FAS1|S0001665
FAS2|S0006152
Sub2p|S0002242
FAS3|S0005299
Dic1p|S0004340
ZRT1|S0003224
ZRT2|S0004120
Pzd400p|S0002426
Lpe13p|S0005980
AAC1|S0004660
PBS1|S0004334
PBS2|S0003664
AAC2|S0000126
AAC3|S0000289
Stt1p|S0000201
Pex12p|S0004628
Rma1p|S0001615
Ufd4p|S0001493
RPL5A|S0001280
APE1|S0001586
APE2|S0001640
BMH1|S0000979
Guk1p|S0002862
BMH2|S0002506
APE3|S0000490
Cus1p|S0004853
FAT1|S0000245
FAT2|S0000426
YUR1|S0003675
MKK1|S0005757
MKK2|S0006061
Lpe14p|S0005979
AAD3|S0000704
AAD4|S0002402
TUB1|S0004550
ESS1|S0003778
AAD6|S0001838
URE1|S0005902
TUB2|S0001857
URE2|S0005173
TUB3|S0004593
TUB4|S0004202
Pex13p|S0004181
Ufd5p|S0002178
RPL6A|S0004538
RPL6B|S0004440
SWP59|S0004636
EDR1|S0004224
TFA1|S0001511
Cus2p|S0005230
TFA2|S0001770
Dss4p|S0006221
Eff2p|S0004511
HRA116|S0003603
Lpe15p|S0005978
EST1|S0004223
EST2|S0004310
Stt3p|S0002990
EST3|S0006432
Yta10p|S0000819
EST4|S0002379
SPE161|S0000602
SWP61|S0006238
Pex14p|S0003121
TIF11|S0004873
RPL7A|S0003044
RPL7B|S0006119
APG1|S0003148
APG5|S0006070
M_D535|S0004583
TFB1|S0002719
TFB2|S0006043
APG6|S0006041
Ste2p|S0001868
APG7|S0001214
TFB3|S0002868
TFB4|S0006260
APG8|S0000174
Erc25p|S0001575
Lpe16p|S0005977
NHP2|S0002367
Drg1p|S0004389
Stt4p|S0004296
Yta11p|S0006228
Pex15p|S0005404
SWP73|S0005306
NHPA|S0006256
RPL8A|S0001025
RPL8B|S0003968
NHPB|S0002157
TFC1|S0000327
TFC2|S0006390
Ste3p|S0001661
TFC3|S0000001
TFC4|S0003279
TFC5|S0004984
TFC6|S0002770
TFC7|S0005636
NRB120|S0003230
Lpe17p|S0005976
Ynr3p|S0005117
Nop10p|S0007455
CYP2|S0001099
CYP4|S0000665
Yta12p|S0004695
CYP5|S0002712
Sig1p|S0000870
Vam1p|S0004844
TIF31|S0004614
RPL9A|S0003115
TIF32|S0000283
RPL9B|S0005011
TIF34|S0004754
TIF35|S0002837
HSP10|S0005546
HSP12|S0001880
Ssh1p|S0000487
Ste4p|S0005738
CYPD|S0002712
HRA145|S0003760
Lpe18p|S0005975
AAH1|S0005085
Tim22p|S0002376
TUF1|S0005713
Pex17p|S0005158
THI10|S0004227
Vam2p|S0002487
THI11|S0003917
THI12|S0005276
THI13|S0002403
SLC53|S0005534
TIF44|S0003808
TIF45|S0005499
Int1p|S0002216
Kkq8p|S0001651
Ssh2p|S0006068
Tpk1p|S0003700
Ctf13p|S0004700
Ste5p|S0002510
HSP26|S0000276
Pps1p|S0000480
Shy1p|S0003344
Lpe19p|S0005974
TUFM|S0005713
Nan1p|S0006047
NHS5|S0003387
Tim23p|S0005300
CYR1|S0003542
Gip1p|S0000249
Ids2p|S0003682
Pex18p|S0001203
Vam3p|S0005632
THI20|S0005416
THI21|S0006179
THI22|S0006325
HSP30|S0000615
SIC1|S0004069
Tpk2p|S0006124
Ste6p|S0001692
Ctf14p|S0003372
HSP35|S0003424
Nup1p|S0005624
HSP36|S0003424
Edl1p|S0005358
HMRA1|S0000694
HMRA2|S0000692
Trs120p|S0002815
Gip2p|S0000856
CYS3|S0000010
URK1|S0005295
CYS4|S0003387
Ppd1p|S0000344
YFW1|S0001020
Pex19p|S0002223
Vam4p|S0004460
Hpt1p|S0002807
APL1|S0003765
APL2|S0001618
APL3|S0000133
APL4|S0006233
Srk1p|S0002701
HSP42|S0002578
APL5|S0006116
Tpk3p|S0001649
Ssh4p|S0001607
TFG1|S0003418
APL6|S0003493
TFG2|S0003237
Ste7p|S0002318
TFG3|S0006050
Nup2p|S0004327
HSP48|S0003486
AI5_BETA|S0007266
Rnh70p|S0003508
CYT1|S0005591
CYT2|S0001570
Nua1p|S0006056
Tem1p|S0004529
Vam5p|S0004388
Ade1p|S0000070
APM1|S0006180
APM2|S0001011
APM3|S0000492
APM4|S0005423
CYTB|S0007270
Ste8p|S0004434
MKS1|S0005020
NRB175|S0003231
Dpm1p|S0006387
Hrb612p|S0005463
Nua2p|S0005752
Ubp1p|S0002280
Vam6p|S0002235
Ade2p|S0005654
Vtc1p|S0000874
APN1|S0001597
HSP60|S0004249
APN2|S0000115
SIF1|S0005207
SIF2|S0000307
Ctf17p|S0002662
Ste9p|S0002635
Eco1p|S0001923
Nup116p|S0004650
HRA196|S0003754
MKT1|S0005029
Imh1p|S0004300
Rml16p|S0000134
Pog1p|S0001384
GNA1|S0001877
Sgm1p|S0003895
Exo84p|S0000306
Ubp2p|S0005650
Vam7p|S0003180
Ade3p|S0003436
Vtc2p|S0001890
YB5|S0005055
Cpn10p|S0005546
SIG1|S0000870
Lyp1p|S0005212
Ctf18p|S0004683
Chl1p|S0005929
Uba1p|S0001693
HSP78|S0002666
JA1|S0003088
JA2|S0001561
Gre1p|S0006144
NHX1|S0002864
CEP52A|S0001410
CEP52B|S0001802
Crm1p|S0003450
SSM1A|S0006141
SSM1B|S0003103
NBP35|S0003059
HKE1|S0005574
Tdp1p|S0000427
Ubp3p|S0000953
Vam8p|S0004138
YC1|S0005889
Pdx1p|S0003425
Ach1p|S0000111
Ade4p|S0004915
Vtc3p|S0005940
Gtd892p|S0003797
BMS1|S0006138
YC7|S0002979
HSP82|S0006161
HSP83|S0006161
Ctf19p|S0005939
Ami1p|S0000448
Uba2p|S0002798
RPLA0|S0004332
Gre2p|S0005511
RPLA1|S0002239
RPLA2|S0005399
RPLA3|S0002288
RPLA4|S0002790
Dop1p|S0002548
Yak1p|S0003677
URP1|S0000395
URP2|S0001007
Rim1p|S0007222
Ubp4p|S0002476
Vam9p|S0005966
THI80|S0005669
Ykl1p|S0001627
Vtc4p|S0003549
HSP90|S0006161
RLF2|S0006222
TFL1|S0005048
RLF4|S0001119
RLF6|S0000517
Uba3p|S0006270
Mlc1p|S0003074
Abz1p|S0005316
Pdi1p|S0000548
Gre3p|S0001146
AAP1|S0001089
Mvd1p|S0005326
Sfp1p|S0004395
Hrd147p|S0003747
GND1|S0001226
Rim2p|S0000396
GND2|S0003488
Ubp5p|S0000946
JEM1|S0003609
Pdx3p|S0000239
Ade6p|S0003293
YOX001|S0005732
L10E|S0004332
Ykl2p|S0001626
Las21p|S0003598
PRA1|S0006075
Doa1p|S0001696
RLG1|S0003623
APR6|S0000979
Opy1p|S0000333
Ami3p|S0005421
SRP14|S0002250
Chl4p|S0002662
Ubp6p|S0001906
JEN1|S0001700
Ykl3p|S0001625
APS1|S0004160
PRB1|S0000786
APS2|S0003819
Doa2p|S0000902
APS3|S0003561
SIK1|S0004187
SRP21|S0001605
Opy2p|S0006279
FBA1|S0001543
Sfa1p|S0002327
Pzd196p|S0002429
LPB10|S0005942
LPB11|S0005941
LPB12|S0005940
LPB13|S0005939
LPB14|S0005938
AAR1|S0000680
PCA1|S0000499
Spb1p|S0000559
AAR2|S0000170
SXM1|S0002803
TUP1|S0000680
Rpa135p|S0006214
Ubp7p|S0001418
Nhx1p|S0002864
TUP7|S0005361
Fbp26p|S0003691
Ade8p|S0002816
Ykl4p|S0001624
Mae1p|S0001512
PRC1|S0004912
APT1|S0004484
Doa3p|S0006307
PRC2|S0002979
APT2|S0002849
Fig1p|S0000244
SIL2|S0004088
SIL3|S0004088
UCR2|S0006395
Ddr2p|S0005413
Ytp1p|S0005181
Pcl1p|S0005233
Nif3p|S0003189
UCR6|S0001929
UCR7|S0002937
UCR9|S0003415
AAS1|S0002691
AAS2|S0001734
Spb2p|S0003725
AAS3|S0000735
Ddc1p|S0006115
Spp81p|S0005730
Ses1p|S0002430
PRCI|S0002979
POL12|S0000131
Ubp8p|S0004836
Twf1p|S0003312
Ade9p|S0005710
Ykl5p|S0001623
Rpa12p|S0003824
PRD1|S0000562
Doa4p|S0002476
Fig2p|S0000685
SRP40|S0001800
SIM1|S0001385
SIM2|S0004283
TFP1|S0002344
Bio2p|S0003518
TFP3|S0006155
Pcl2p|S0002285
YHB|S0003466
AAT1|S0001589
Cps1p|S0003708
AAT2|S0004017
TUR1|S0000447
Yta1p|S0005643
Spr28p|S0002626
Ubp9p|S0000900
PET3027|S0004664
PRE1|S0000814
PRE2|S0006307
Fig3p|S0004669
Doa5p|S0003485
Hcm1p|S0000661
PRE3|S0003538
PRE4|S0001946
SIN1|S0000963
PRE5|S0004931
PRE6|S0005398
SIN3|S0005364
Bio3p|S0005341
Sed1p|S0002484
SRP54|S0006292
SIN4|S0005180
Ndt80p|S0001166
Ste20p|S0000999
PRE7|S0000137
PRE8|S0004557
PRE9|S0003367
Spb4p|S0001894
SUP110|S0006175
TUS1|S0004417
POL30|S0000292
POL31|S0003766
POL32|S0003804
Yta2p|S0002802
YAP17|S0003819
Syf1p|S0002824
YAP19|S0004160
RIR16|S0003314
HRF213|S0003608
Rpa14p|S0002563
PRF1|S0005648
Fig4p|S0005269
Bio4p|S0005340
Sed2p|S0005309
Ste21p|S0002743
SRP68|S0006164
Itr1p|S0002905
Yta3p|S0001628
Syf2p|S0003361
Aua1p|S0001955
PRG1|S0006307
Tsm007p|S0003542
RLM1|S0006010
SIP1|S0002830
Fun40p|S0000042
SRP72|S0006131
TFS1|S0004168
SIP2|S0003176
Rgd1p|S0000464
Bio5p|S0005339
SIP3|S0005201
Ste22p|S0006326
SIP4|S0003625
Pcl5p|S0001113
Acn50p|S0001568
PCF1|S0003279
PCF4|S0003478
Itr2p|S0005463
Rim9p|S0004667
Yta4p|S0003260
Syf3p|S0004107
YL3|S0006052
YL6|S0002104
Pze570p|S0002433
Sed4p|S0000663
Ste23p|S0004381
Pcl6p|S0000861
Ats1p|S0000018
MSS116|S0002602
Cef1p|S0004826
Yta5p|S0002165
PRI1|S0001447
Gem3p|S0000762
PRI2|S0001528
SIR1|S0001809
Fun42p|S0000045
SIR2|S0002200
SIR3|S0004434
Sed5p|S0004016
Ste24p|S0003878
SIR4|S0002635
SIR5|S0000264
Lst10p|S0006006
Par1p|S0004466
Pcl7p|S0001312
Acn52p|S0001387
PCH1|S0002848
Spb8p|S0003660
PCH2|S0000390
Msm1p|S0003403
Scy1p|S0003051
ETG1|S0004334
Snu56p|S0002648
Isu1p|S0006056
YAP54|S0006180
Yta6p|S0005995
YGE1|S0005758
14DM|S0001049
Put1p|S0004132
SIS1|S0004952
DHC1|S0001762
Fun43p|S0000048
SIS2|S0001780
Sed6p|S0004467
RLP7|S0004947
Cyh2p|S0003071
Pcl8p|S0006140
Mak10p|S0000779
Rph1p|S0000971
Spb9p|S0003410
YNK|S0001550
ETH1|S0000115
Isu2p|S0005752
ETH2|S0002910
TCP1BETA|S0001404
Pac1p|S0005795
Yta7p|S0003502
Put2p|S0001079
Has1p|S0004903
PRK1|S0001357
CKA1|S0001297
CKA2|S0005587
Scj1p|S0004827
SIT1|S0000791
Fun44p|S0000050
SIT2|S0005677
PMR2A|S0002447
SIT3|S0005996
Isf1p|S0004686
